observation_date,JTSJOR,JTSTSR,UNRATE,FEDFUNDS,AHETPI
2001-01-01,3.8,4.4,4.2,5.98,14.29
2001-02-01,3.7,3.9,4.2,5.49,14.36
2001-03-01,3.5,4.2,4.3,5.31,14.42
2001-04-01,3.4,4.1,4.4,4.80,14.44
2001-05-01,3.2,4.1,4.3,4.21,14.50
2001-06-01,3.2,4.0,4.5,3.97,14.54
2001-07-01,3.3,4.1,4.6,3.77,14.55
2001-08-01,3.0,4.1,4.9,3.65,14.60
2001-09-01,3.0,3.9,5.0,3.07,14.62
2001-10-01,2.7,4.2,5.3,2.49,14.66
2001-11-01,2.8,3.9,5.5,2.09,14.72
2001-12-01,2.7,3.7,5.7,1.82,14.74
2002-01-01,2.7,3.9,5.7,1.73,14.76
2002-02-01,2.6,3.8,5.7,1.74,14.78
2002-03-01,2.7,3.6,5.7,1.73,14.82
2002-04-01,2.6,3.8,5.9,1.75,14.84
2002-05-01,2.6,3.7,5.8,1.75,14.88
2002-06-01,2.5,3.7,5.8,1.75,14.93
2002-07-01,2.5,3.9,5.8,1.73,14.97
2002-08-01,2.6,3.7,5.7,1.74,15.02
2002-09-01,2.5,3.8,5.7,1.75,15.05
2002-10-01,2.6,3.6,5.7,1.75,15.12
2002-11-01,2.6,3.6,5.9,1.34,15.15
2002-12-01,2.4,3.8,6.0,1.24,15.20
2003-01-01,2.6,3.8,5.8,1.24,15.21
2003-02-01,2.4,3.7,5.9,1.26,15.28
2003-03-01,2.3,3.6,5.9,1.25,15.27
2003-04-01,2.3,3.6,6.0,1.26,15.28
2003-05-01,2.5,3.6,6.1,1.26,15.33
2003-06-01,2.5,3.6,6.3,1.22,15.36
2003-07-01,2.2,3.6,6.2,1.01,15.40
2003-08-01,2.4,3.6,6.1,1.03,15.42
2003-09-01,2.3,3.6,6.1,1.01,15.42
2003-10-01,2.5,3.6,6.0,1.01,15.42
2003-11-01,2.5,3.6,5.8,1.00,15.46
2003-12-01,2.5,3.7,5.7,0.98,15.47
2004-01-01,2.6,3.6,5.7,1.00,15.51
2004-02-01,2.6,3.6,5.6,1.01,15.53
2004-03-01,2.6,3.8,5.8,1.00,15.56
2004-04-01,2.6,3.7,5.6,1.00,15.59
2004-05-01,2.7,3.6,5.6,1.00,15.63
2004-06-01,2.5,3.7,5.6,1.03,15.67
2004-07-01,2.8,3.7,5.5,1.26,15.69
2004-08-01,2.6,3.7,5.4,1.43,15.73
2004-09-01,2.8,3.7,5.4,1.61,15.78
2004-10-01,2.9,3.6,5.5,1.76,15.81
2004-11-01,2.6,3.9,5.4,1.93,15.84
2004-12-01,3.0,3.7,5.4,2.16,15.86

2005-01-01,2.8,3.8,5.3,2.28,15.90
2005-02-01,2.9,3.8,5.4,2.50,15.93
2005-03-01,2.9,3.9,5.2,2.63,15.97
2005-04-01,3.0,3.7,5.2,2.79,16.01
2005-05-01,2.8,3.8,5.1,3.00,16.04
2005-06-01,2.9,3.8,5.0,3.04,16.08
2005-07-01,3.1,3.7,5.0,3.26,16.15
2005-08-01,3.0,3.9,4.9,3.50,16.17
2005-09-01,3.1,4.0,5.0,3.62,16.19
2005-10-01,3.0,3.7,5.0,3.78,16.28
2005-11-01,3.1,3.7,5.0,4.00,16.30
2005-12-01,3.1,3.8,4.9,4.16,16.36
2006-01-01,3.1,3.7,4.7,4.29,16.42
2006-02-01,3.1,3.9,4.8,4.49,16.48
2006-03-01,3.4,3.9,4.7,4.59,16.54
2006-04-01,3.4,3.7,4.7,4.79,16.63
2006-05-01,3.2,4.0,4.6,4.94,16.65
2006-06-01,3.3,3.9,4.6,4.99,16.72
2006-07-01,3.1,3.9,4.7,5.24,16.78
2006-08-01,3.3,3.8,4.7,5.25,16.82
2006-09-01,3.3,3.7,4.5,5.25,16.87
2006-10-01,3.2,3.9,4.4,5.25,16.93
2006-11-01,3.3,3.9,4.5,5.25,16.98
2006-12-01,3.3,3.7,4.4,5.24,17.05
2007-01-01,3.3,3.8,4.6,5.25,17.09
2007-02-01,3.3,3.7,4.5,5.26,17.16
2007-03-01,3.5,3.8,4.4,5.26,17.22
2007-04-01,3.3,3.8,4.5,5.25,17.27
2007-05-01,3.3,3.8,4.4,5.25,17.34
2007-06-01,3.4,3.7,4.6,5.25,17.41
2007-07-01,3.2,3.8,4.7,5.26,17.46
2007-08-01,3.2,3.9,4.6,5.02,17.50
2007-09-01,3.3,3.8,4.7,4.94,17.55
2007-10-01,3.2,3.8,4.7,4.76,17.58
2007-11-01,3.3,3.7,4.7,4.49,17.63
2007-12-01,3.2,3.6,5.0,4.24,17.68
2008-01-01,3.2,3.7,5.0,3.94,17.74
2008-02-01,3.0,3.8,4.9,2.98,17.80
2008-03-01,3.0,3.6,5.1,2.61,17.87
2008-04-01,2.8,3.7,5.0,2.28,17.92
2008-05-01,3.0,3.5,5.4,1.98,17.98
2008-06-01,2.7,3.7,5.6,2.00,18.04
2008-07-01,2.7,3.5,5.8,2.01,18.10
2008-08-01,2.6,3.6,6.1,2.00,18.18
2008-09-01,2.3,3.6,6.1,1.81,18.20
2008-10-01,2.4,3.6,6.5,0.97,18.25
2008-11-01,2.3,3.6,6.8,0.39,18.31
2008-12-01,2.3,3.6,7.3,0.16,18.39
2009-01-01,2.0,3.6,7.8,0.15,18.39
2009-02-01,2.1,3.6,8.3,0.22,18.44
2009-03-01,1.9,3.6,8.7,0.18,18.49
2009-04-01,1.7,3.6,9.0,0.15,18.52
2009-05-01,1.9,3.2,9.4,0.18,18.53
2009-06-01,1.9,3.2,9.5,0.21,18.56
2009-07-01,1.7,3.2,9.5,0.16,18.59
2009-08-01,1.8,3.1,9.6,0.16,18.67
2009-09-01,1.9,3.2,9.8,0.15,18.70
2009-10-01,1.8,3.1,10.0,0.12,18.74
2009-11-01,1.9,3.1,9.9,0.12,18.80
2009-12-01,1.9,3.2,9.9,0.12,18.84
2010-01-01,2.1,3.0,9.8,0.11,18.88
2010-02-01,2.0,3.1,9.8,0.13,18.91
2010-03-01,2.0,3.1,9.9,0.16,18.92
2010-04-01,2.4,3.0,9.9,0.20,18.96
2010-05-01,2.2,3.0,9.6,0.20,19.01
2010-06-01,2.1,3.3,9.4,0.18,19.03
2010-07-01,2.3,3.3,9.4,0.18,19.04
2010-08-01,2.2,3.1,9.5,0.19,19.11
2010-09-01,2.2,3.1,9.5,0.19,19.11
2010-10-01,2.4,3.0,9.4,0.19,19.21
2010-11-01,2.4,3.1,9.8,0.19,19.21
2010-12-01,2.3,3.2,9.3,0.18,19.23
2011-01-01,2.3,3.1,9.1,0.17,19.33
2011-02-01,2.4,3.1,9.0,0.16,19.31
2011-03-01,2.4,3.2,9.0,0.14,19.30
2011-04-01,2.4,3.0,9.1,0.10,19.36
2011-05-01,2.4,3.2,9.0,0.09,19.41
2011-06-01,2.6,3.2,9.1,0.09,19.41
2011-07-01,2.7,3.1,9.0,0.07,19.48
2011-08-01,2.5,3.2,9.0,0.10,19.47
2011-09-01,2.8,3.2,9.0,0.08,19.49
2011-10-01,2.7,3.1,8.8,0.07,19.56
2011-11-01,2.6,3.2,8.6,0.08,19.56
2011-12-01,2.8,3.1,8.5,0.07,19.57
2012-01-01,2.8,3.1,8.3,0.08,19.59
2012-02-01,2.6,3.3,8.3,0.10,19.58
2012-03-01,2.9,3.2,8.2,0.13,19.64
2012-04-01,2.8,3.2,8.2,0.14,19.68
2012-05-01,2.8,3.3,8.2,0.16,19.68
2012-06-01,2.8,3.3,8.2,0.16,19.71
2012-07-01,2.7,3.1,8.2,0.16,19.75
2012-08-01,2.8,3.2,8.1,0.13,19.74
2012-09-01,2.8,3.0,7.8,0.14,19.79
2012-10-01,2.7,3.2,7.8,0.16,19.79
2012-11-01,2.8,3.2,7.7,0.16,19.84
2012-12-01,2.9,3.0,7.9,0.16,19.90
2013-01-01,2.8,3.2,8.0,0.14,19.93
2013-02-01,2.9,3.2,7.7,0.15,19.99
2013-03-01,2.9,3.1,7.5,0.14,20.01
2013-04-01,2.9,3.3,7.6,0.15,20.04
2013-05-01,3.0,3.3,7.5,0.11,20.05
2013-06-01,3.0,3.2,7.5,0.09,20.13
2013-07-01,2.8,3.2,7.3,0.09,20.14
