variant,param,status,top5_p25,top5_p50,top5_p75,top5_min,top5_max
V_Full,vacancy_rate,ACTIVE,0.042268856025675955,0.04365068742477991,0.04871839379713369,0.04000512277362314,0.0747292943261434
V_Full,fragility_threshold,ACTIVE,0.6283234128149077,0.6351784898362786,0.6607160160682736,0.3770330589016808,0.667880265793721
V_Full,acceptance_pressure,ACTIVE,0.11506528147858473,0.1709603475755734,0.20944574430036406,0.09909814193902039,0.27863409244684706
V_Full,h2m_resv_discount,ACTIVE,0.1733317938593167,0.18004630251895948,0.22445290068761412,0.13418970837465324,0.29468546354861463
V_Full,lockin_penalty,ACTIVE,0.20127983794232385,0.23447552900226326,0.2715396390942108,0.1568060509481831,0.4913267548938228
V_Full,duration_thresh,ACTIVE,5.571024474112432,5.799979133178422,6.260414767268139,4.054805124884382,9.277180410486888
V_Full,exit_jump,ACTIVE,2.3784737938109473,3.2779820881630624,3.6433343448080384,2.0558211593691382,3.9146296205021
V_Full,reentry_penalty,ACTIVE,0.2871379204255468,0.32250891503743007,0.3592718406433437,0.22703730022156499,0.4781223215273921
V_Full,h2m_mpc_floor,ACTIVE,0.8690129851038276,0.9091953922599169,0.9290177371183006,0.8637484186230633,0.9624297522423065
V_Full,wealthy_discount,ACTIVE,0.24347923932692078,0.3469350145027586,0.4005574954009935,0.21775604569114237,0.47173691218860114
V_Full,emp_adapt_speed,ACTIVE,0.10017380655899458,0.10812974405833575,0.13664519010389703,0.040447111918856915,0.1464852722017493
V_Full,unemp_adapt_speed,ACTIVE,0.17311298649146173,0.18446968514873235,0.2092106409685272,0.09363010358193874,0.2830601026897146
V_Full,pessimism_exit,ACTIVE,0.06895488798351798,0.12183458167010754,0.15505721500731573,0.06138464160422923,0.18165910644058947
V_Full,optimism_entry,ACTIVE,0.22542908725880198,0.3200920704296591,0.3681005708552686,0.1404281514597067,0.478562957196601
V_Homogeneous,vacancy_rate,ACTIVE,0.0693430840773622,0.06992364290900846,0.07429568408468713,0.06631478361188092,0.07545017937847157
V_Homogeneous,fragility_threshold,ACTIVE,0.3168808775628902,0.3694204437383232,0.41626773639058945,0.3027508997359153,0.6859595774560103
V_Homogeneous,acceptance_pressure,ACTIVE,0.17782286800198366,0.2398468341605472,0.24062015005503612,0.1675550655412021,0.2576394682794262
V_Homogeneous,h2m_resv_discount,ACTIVE,0.18973409052028317,0.272331002609546,0.27939944121106763,0.16010108154770153,0.28159879621817885
V_Homogeneous,lockin_penalty,ACTIVE,0.23407988998451557,0.37498446730827506,0.4370182923655659,0.14381123248770178,0.49086456441446424
V_Homogeneous,duration_thresh,ACTIVE,4.54790444596179,4.762621898918782,6.3065211542237805,3.9439723805370654,6.346130124806075
V_Homogeneous,exit_jump,ACTIVE,2.6985748794932496,2.769843506280349,2.924976434512692,2.3103959196852264,3.513264626731073
V_Homogeneous,reentry_penalty,ACTIVE,0.2812481136941545,0.3859128781413925,0.42960744112821797,0.19258919291294663,0.48772186191772204
V_Homogeneous,h2m_mpc_floor,ACTIVE,0.8817669839577118,0.9358209994742348,0.9654407328770884,0.8547649684406693,0.9725936374587735
V_Homogeneous,wealthy_discount,ACTIVE,0.26220580252184555,0.2664123510907574,0.31140019485007686,0.21734083514576596,0.4721080260078919
V_Homogeneous,emp_adapt_speed,ACTIVE,0.06504358007534786,0.08538984159555542,0.12557187937092865,0.03798499254719559,0.13751049798051612
V_Homogeneous,unemp_adapt_speed,ACTIVE,0.11829332837181651,0.17691961919709598,0.17966925887513577,0.08874798128982286,0.23676552871027
V_Homogeneous,pessimism_exit,ACTIVE,0.13348307466945625,0.1651252017251258,0.3224807765097749,0.12694129243290486,0.37667590490038866
V_Homogeneous,optimism_entry,ACTIVE,0.2759082135913149,0.27956717883572674,0.29188053579607287,0.12387648083545287,0.3414700743228397
V_LaborOnly,vacancy_rate,ACTIVE,0.05518979167650363,0.060324125738581647,0.06398171671948047,0.045418898707138916,0.07983784250630528
V_LaborOnly,fragility_threshold,ACTIVE,0.38851645619700703,0.4414413594516197,0.45407404670211676,0.3279097975554461,0.4714517567407449
V_LaborOnly,acceptance_pressure,ACTIVE,0.1765042828986143,0.22413657182323193,0.23868863182541306,0.08960713813967508,0.2645367355183558
V_LaborOnly,h2m_resv_discount,INACTIVE (baseline),,0.2,,,
V_LaborOnly,lockin_penalty,ACTIVE,0.24965705961071502,0.2729737272817812,0.4608630587504333,0.21833381393195675,0.46655487469093504
V_LaborOnly,duration_thresh,ACTIVE,6.732966525076679,6.817633854718484,7.453932601954773,5.177015939007674,11.64647641945964
V_LaborOnly,exit_jump,ACTIVE,1.9702794241166655,2.538018557954839,3.313516550502958,1.3967554941118547,3.70715653705794
V_LaborOnly,reentry_penalty,ACTIVE,0.3947687905098216,0.39697959567750907,0.4068749499398929,0.28362904279521756,0.4560507565537125
V_LaborOnly,h2m_mpc_floor,INACTIVE (baseline),,0.95,,,
V_LaborOnly,wealthy_discount,INACTIVE (baseline),,0.3,,,
V_LaborOnly,emp_adapt_speed,ACTIVE,0.11195155961414924,0.13169656497661714,0.13263945164827734,0.030468963166497942,0.1449665133967915
V_LaborOnly,unemp_adapt_speed,ACTIVE,0.1188045352865503,0.14183821942592822,0.2395470114280671,0.11417417852159745,0.29652764509300744
V_LaborOnly,pessimism_exit,ACTIVE,0.13128188186409717,0.2996368457332052,0.3277651795762236,0.06517267476132818,0.33502351136978015
V_LaborOnly,optimism_entry,ACTIVE,0.1449993166636601,0.2727058569032683,0.32555226380536095,0.11614208680361028,0.3972053684065796
V_Simplified,vacancy_rate,ACTIVE,0.07211222453099166,0.07585786474148135,0.07653348176985858,0.0709901628014234,0.07939191613400894
V_Simplified,fragility_threshold,INACTIVE (baseline),,0.5,,,
V_Simplified,acceptance_pressure,INACTIVE (baseline),,0.15,,,
V_Simplified,h2m_resv_discount,INACTIVE (baseline),,0.2,,,
V_Simplified,lockin_penalty,INACTIVE (baseline),,0.3,,,
V_Simplified,duration_thresh,INACTIVE (baseline),,6.0,,,
V_Simplified,exit_jump,INACTIVE (baseline),,2.0,,,
V_Simplified,reentry_penalty,INACTIVE (baseline),,0.3,,,
V_Simplified,h2m_mpc_floor,INACTIVE (baseline),,0.95,,,
V_Simplified,wealthy_discount,INACTIVE (baseline),,0.3,,,
V_Simplified,emp_adapt_speed,INACTIVE (baseline),,0.05,,,
V_Simplified,unemp_adapt_speed,INACTIVE (baseline),,0.2,,,
V_Simplified,pessimism_exit,INACTIVE (baseline),,0.2,,,
V_Simplified,optimism_entry,INACTIVE (baseline),,0.3,,,
V_NoSearch,vacancy_rate,ACTIVE,0.04268589361998747,0.04374001248540482,0.04821552200484351,0.03818132585002956,0.05388427014762345
V_NoSearch,fragility_threshold,ACTIVE,0.4189614087912829,0.5213147776931296,0.5266587434817265,0.36144130195132335,0.5411197990491958
V_NoSearch,acceptance_pressure,ACTIVE,0.18814727342456278,0.21292477685160044,0.2351357026413477,0.1568191064414177,0.2993427889486965
V_NoSearch,h2m_resv_discount,ACTIVE,0.11420113397790718,0.198933665654067,0.2208885114492813,0.10069990694371724,0.28247750651268244
V_NoSearch,lockin_penalty,ACTIVE,0.2010356989302548,0.3426541442609182,0.46581525286621006,0.13450207979602158,0.48571958828746
V_NoSearch,duration_thresh,ACTIVE,4.804321230552025,5.266930524129897,7.212256060500028,3.374210117652561,9.541949841260276
V_NoSearch,exit_jump,ACTIVE,2.6826978496130183,3.2681504330046427,3.3131246229510922,2.435293916230819,3.8289134838004277
V_NoSearch,reentry_penalty,ACTIVE,0.27698235752938954,0.3289535597113477,0.3552595879487209,0.25202384005350786,0.45388579072709645
V_NoSearch,h2m_mpc_floor,ACTIVE,0.8754103284701151,0.9028832445148318,0.9211517831684493,0.8599809861413795,0.9764438624593696
V_NoSearch,wealthy_discount,ACTIVE,0.22138537227367022,0.25168257270101707,0.3307863602543837,0.15968903547553537,0.3484395121377948
V_NoSearch,emp_adapt_speed,ACTIVE,0.09870005246518491,0.12828833474828039,0.13828417834219947,0.08317517884931902,0.14616513463269756
V_NoSearch,unemp_adapt_speed,ACTIVE,0.1701227424376454,0.2188302059875486,0.2301276304810035,0.16279517263449034,0.3009988360432121
V_NoSearch,pessimism_exit,ACTIVE,0.1433182983165397,0.18897031593070474,0.25809034051452184,0.1406559154518689,0.27717663863317965
V_NoSearch,optimism_entry,ACTIVE,0.21414072974376283,0.3270198142325582,0.33859797674988534,0.1774164887332842,0.3771121944417898
V_NoLiquidity,vacancy_rate,ACTIVE,0.05441520683857014,0.055516751236208986,0.05830108428998794,0.04876715028464729,0.0620631103206043
V_NoLiquidity,fragility_threshold,ACTIVE,0.35513045064668514,0.39186949705773105,0.41311148124166824,0.3284964995239385,0.4371085075690112
V_NoLiquidity,acceptance_pressure,ACTIVE,0.1555907390010775,0.18750178842721027,0.19209172307816091,0.11057619091048769,0.26103075850817614
V_NoLiquidity,h2m_resv_discount,ACTIVE,0.2590720336884059,0.2892318070851544,0.3055487238436548,0.13338216765122138,0.31660821084508034
V_NoLiquidity,lockin_penalty,ACTIVE,0.14689476229171758,0.18535083819925638,0.44118714938718373,0.10472576447078524,0.4689782729723385
V_NoLiquidity,duration_thresh,ACTIVE,9.477224815255788,10.208050771701897,10.547499394384968,7.291715896035772,10.576979005054495
V_NoLiquidity,exit_jump,ACTIVE,2.11161609434463,2.822436676622017,3.124558297543811,1.624910410403094,3.9388120395863777
V_NoLiquidity,reentry_penalty,ACTIVE,0.3742431214474328,0.38563575133207995,0.41606266347998355,0.3357869893661349,0.4197450406850922
V_NoLiquidity,h2m_mpc_floor,ACTIVE,0.9356214814623611,0.9378714186277888,0.9734491049124924,0.8896433212907549,0.9810033804638938
V_NoLiquidity,wealthy_discount,ACTIVE,0.29903920877078627,0.40707654443102403,0.44284021121858763,0.2617224928177399,0.4685622972055322
V_NoLiquidity,emp_adapt_speed,ACTIVE,0.09796086058540836,0.10806636214866328,0.11429828377805963,0.06743992297008201,0.12132653610911653
V_NoLiquidity,unemp_adapt_speed,ACTIVE,0.15932144389974762,0.1898406084655253,0.2197647424574803,0.08968148583010933,0.3431196940339944
V_NoLiquidity,pessimism_exit,ACTIVE,0.15014315933959438,0.20473828939027194,0.28922169364418754,0.10117427394605882,0.3921257629527672
V_NoLiquidity,optimism_entry,ACTIVE,0.25824958379374835,0.32301235944395834,0.43798903039128867,0.16529913064010038,0.49440899962154083
V_NoHousing,vacancy_rate,ACTIVE,0.05353220381502519,0.05601238426916336,0.07604359004907055,0.052293029264068994,0.0773194139093805
V_NoHousing,fragility_threshold,ACTIVE,0.489516285778596,0.6494554525821837,0.6554269933586436,0.48520297011281144,0.6568412133735267
V_NoHousing,acceptance_pressure,ACTIVE,0.15708030430370826,0.19442045569455552,0.24614738752894455,0.08060464179249817,0.2939925675166657
V_NoHousing,h2m_resv_discount,ACTIVE,0.18306620034620114,0.2282231348981634,0.27602478243875844,0.1368420812593643,0.2863522348965174
V_NoHousing,lockin_penalty,ACTIVE,0.22744969859958097,0.3102593114163953,0.41258926944225427,0.19846746828087905,0.4329913534834686
V_NoHousing,duration_thresh,ACTIVE,3.9564398169547292,4.208474729822033,5.324525725635777,3.643798800903245,8.27225620411501
V_NoHousing,exit_jump,ACTIVE,3.3126762315597733,3.6281926021650857,3.8289500841617636,2.9280420800580496,3.9343266387764415
V_NoHousing,reentry_penalty,ACTIVE,0.24014710113774085,0.34905100812517814,0.4008791950135035,0.08710222899334949,0.42589843442194214
V_NoHousing,h2m_mpc_floor,ACTIVE,0.8749330300136876,0.9257385709071684,0.94126595880491,0.8637988052195948,0.9432569980512155
V_NoHousing,wealthy_discount,ACTIVE,0.33028777411827503,0.3696610013407424,0.4080917552697081,0.21726156107341932,0.4465581667130327
V_NoHousing,emp_adapt_speed,ACTIVE,0.0377675912699144,0.04757566519643436,0.09893600280392263,0.020427014777542194,0.11100058050488104
V_NoHousing,unemp_adapt_speed,ACTIVE,0.1629871453774661,0.20856059616535538,0.21092890444374274,0.15811687647726164,0.21836632171778325
V_NoHousing,pessimism_exit,ACTIVE,0.26332215354274185,0.29839762524783314,0.3006166555928429,0.18562275503521614,0.32303228865995387
V_NoHousing,optimism_entry,ACTIVE,0.1743584270639128,0.2990073981722132,0.3092655745568176,0.16990232577447262,0.46459883812257374
V_NoSLH,vacancy_rate,ACTIVE,0.05543631546750463,0.06150485283293844,0.07093611262824254,0.05000528334357063,0.07658574244818352
V_NoSLH,fragility_threshold,ACTIVE,0.3343332567474331,0.36146006682386733,0.5588487473361166,0.32232800542255424,0.6011207983682629
V_NoSLH,acceptance_pressure,ACTIVE,0.1385942705679597,0.18807721682196304,0.220307793685957,0.05793241343369327,0.23387465266427837
V_NoSLH,h2m_resv_discount,ACTIVE,0.15922238933261731,0.20983242342597114,0.2340759680264229,0.15638949759537518,0.2598190966807279
V_NoSLH,lockin_penalty,ACTIVE,0.30986499108433785,0.42849359568518386,0.455839503489592,0.25786211494749744,0.47865295537690355
V_NoSLH,duration_thresh,ACTIVE,4.214396352399477,4.920539229833847,6.376652387002928,3.667249174190062,7.486315647044084
V_NoSLH,exit_jump,ACTIVE,3.245939103210886,3.353990145485882,3.681264433623045,2.779866770616553,3.931776325598726
V_NoSLH,reentry_penalty,ACTIVE,0.14537346317193262,0.2245807819927007,0.3054883259409191,0.13234296223965702,0.3633547428176884
V_NoSLH,h2m_mpc_floor,ACTIVE,0.874351717379383,0.9063459058148552,0.9199590305053206,0.855671793371478,0.9269608205766193
V_NoSLH,wealthy_discount,ACTIVE,0.2643911103426321,0.26914134800659695,0.29435788559135023,0.22848910918429793,0.32757870838111197
V_NoSLH,emp_adapt_speed,ACTIVE,0.039499394305300375,0.039953017022061985,0.09018644661048977,0.031146214985207282,0.0978689498427886
V_NoSLH,unemp_adapt_speed,ACTIVE,0.17505943673868088,0.23735650713731637,0.33851934392376093,0.08549994331626642,0.3430771694211047
V_NoSLH,pessimism_exit,ACTIVE,0.24380960604761154,0.2522178101631059,0.3104467834137303,0.1487992066078439,0.3329002053005113
V_NoSLH,optimism_entry,ACTIVE,0.1984082129321449,0.28953890355790785,0.3763908658714543,0.10791163530227371,0.3993794238538432
V_NoConsumption,vacancy_rate,ACTIVE,0.05522051304876818,0.05756579633255905,0.06655752729796098,0.04873226990934411,0.07855699972326949
V_NoConsumption,fragility_threshold,ACTIVE,0.4839755471761644,0.548595330666784,0.5714913755573535,0.4404716484418187,0.5970059145068776
V_NoConsumption,acceptance_pressure,ACTIVE,0.190760598380043,0.24759968221226603,0.25155483677627133,0.09583413342311858,0.2725127635985131
V_NoConsumption,h2m_resv_discount,ACTIVE,0.12944478716486704,0.13624823267795438,0.14658915261375904,0.11802403458290432,0.20787931482470168
V_NoConsumption,lockin_penalty,ACTIVE,0.2618922660047792,0.3007771960422291,0.45159491441159794,0.17269550570631537,0.4756936631742096
V_NoConsumption,duration_thresh,ACTIVE,7.222651646952623,7.343601639939033,8.440402410301413,3.15819377073067,10.296607965707187
V_NoConsumption,exit_jump,ACTIVE,1.3346064408117286,2.5739207692845114,3.697994064683371,1.1379689039082663,3.7153154426150077
V_NoConsumption,reentry_penalty,ACTIVE,0.3276674249943955,0.34875945331898445,0.42975258525721843,0.28197840104847793,0.49030811498567656
V_NoConsumption,h2m_mpc_floor,ACTIVE,0.9077746243797531,0.9138842700048524,0.962873875646769,0.8842982272119759,0.9843730638021495
V_NoConsumption,wealthy_discount,ACTIVE,0.17407493636175303,0.31143102286927893,0.33345741960524755,0.16267641772905983,0.44004521001698205
V_NoConsumption,emp_adapt_speed,ACTIVE,0.043133854523525236,0.09791393415908431,0.12655938242078402,0.03444056487583359,0.1271173889893548
V_NoConsumption,unemp_adapt_speed,ACTIVE,0.12007452461659593,0.19682252268157796,0.28951884225846813,0.11770498634904052,0.2922926597380803
V_NoConsumption,pessimism_exit,ACTIVE,0.11681096536389944,0.2864639551831345,0.30762933113874386,0.055205215125995535,0.31766895667409034
V_NoConsumption,optimism_entry,ACTIVE,0.18075739800947344,0.3235697467540668,0.3755658712169144,0.16937473682388035,0.4559039956250751
V_SearchOnly,vacancy_rate,ACTIVE,0.058216899783533976,0.06532137013956449,0.06810182317600966,0.05212294484745275,0.07989396905364328
V_SearchOnly,fragility_threshold,ACTIVE,0.33875127582295467,0.37267281157982546,0.3775050008260281,0.33495615561750536,0.45316817976830737
V_SearchOnly,acceptance_pressure,ACTIVE,0.09895937701685248,0.1043939264942772,0.16008512294748334,0.060384061395367665,0.18305197125076167
V_SearchOnly,h2m_resv_discount,ACTIVE,0.19330339054139237,0.2514467905082902,0.3161673986436621,0.1297546242398025,0.3224447179244445
V_SearchOnly,lockin_penalty,ACTIVE,0.23236577215469278,0.27007446028132176,0.36476875263205466,0.13140085936542284,0.4123864645092926
V_SearchOnly,duration_thresh,ACTIVE,4.056537369311463,4.72321633977654,4.918628248616849,3.938803803241019,6.9800182129611
V_SearchOnly,exit_jump,ACTIVE,3.4031839634233068,3.6273496987149967,3.6617837291512454,2.688307900704185,3.9456690981874076
V_SearchOnly,reentry_penalty,ACTIVE,0.3242849400940192,0.3264266843804279,0.36346386561280775,0.06821164970385606,0.3738539561295707
V_SearchOnly,h2m_mpc_floor,ACTIVE,0.9398268579083899,0.9709083126908387,0.973464174864496,0.9044214656859835,0.9798354215569391
V_SearchOnly,wealthy_discount,ACTIVE,0.3509699262582666,0.4054021572871248,0.41639685484560685,0.15307586898579414,0.4559189171327841
V_SearchOnly,emp_adapt_speed,ACTIVE,0.08706766142250329,0.11227579240976703,0.12331529203933382,0.04834472423506806,0.12747506573342507
V_SearchOnly,unemp_adapt_speed,ACTIVE,0.10131323696853578,0.12754269298551035,0.14926036896214018,0.08583962993023675,0.30049564885428187
V_SearchOnly,pessimism_exit,ACTIVE,0.10763644455314791,0.1424738539868428,0.21437943507912888,0.06294229665150416,0.29260189194510355
V_SearchOnly,optimism_entry,ACTIVE,0.2279419882394376,0.2411187842299287,0.2623269080191448,0.1282331120705131,0.3025246899466405
