split,type,train_date_start,train_date_end,train_len,test_date_start,test_date_end,M0_Main,D1_Homogeneous,D3_LaborOnly,B3_Beveridge,B4_DMP,M0_rank
S0,baseline,2004-01,2018-01,168,2022-01,2026-02,0.2576,0.5568,0.3868,0.4216,0.6361,1.0000
R1,rolling,2004-01,2014-01,120,2017-01,2021-02,1.8763,1.4635,1.8435,5.6886,1.5758,5.0000
R2,rolling,2006-01,2016-01,120,2019-01,2023-02,1.9983,1.8594,1.8086,5.6220,2.1501,4.0000
R3,rolling,2008-01,2018-01,120,2021-01,2025-02,0.8294,1.2746,0.7334,1.1143,1.4322,2.0000
R4,rolling,2010-01,2020-01,120,2022-01,2026-02,0.2386,0.5598,0.4014,0.4216,0.6361,1.0000
E1,expanding,2004-01,2014-01,120,2022-01,2026-02,0.2538,0.5625,0.3888,0.4216,0.6361,1.0000
E2,expanding,2004-01,2016-01,144,2022-01,2026-02,0.2404,0.5686,0.4560,0.4216,0.6361,1.0000
E3,expanding,2004-01,2018-01,168,2022-01,2026-02,0.2576,0.5568,0.3868,0.4216,0.6361,1.0000
E4,expanding,2004-01,2020-01,192,2022-01,2026-02,0.2330,0.5499,0.3880,0.4216,0.6361,1.0000
E5,expanding,2004-01,2022-01,216,2022-01,2026-02,0.2357,0.5600,0.4087,0.4216,0.6361,1.0000
