candidate,seed,UR_mean_sim_pp,UR_mean_obs_pp,UR_bias_pp,UR_RMSE_pp,UR_MAE_pp,UR_corr,LFPR_RMSE_pp,EPOP_RMSE_pp
conservative,42,3.9967316295533863,3.902040816326531,0.09469081322685535,0.23763466182987933,0.18777217960222126,0.7883491162131335,1.5348009177554123,1.4264735167108982
conservative,137,3.9532012133762486,3.902040816326531,0.051160397049717504,0.24653607157547006,0.19439812947264423,0.7782400820051653,1.4694577508838602,1.3856111449096984
conservative,2024,3.9243047031599287,3.902040816326531,0.022263886833397833,0.24228516040996867,0.18490661862832775,0.6970800930775717,1.5817663724908486,1.5167697146722523
conservative,888,3.9690440474339934,3.902040816326531,0.06700323110746254,0.24610326307771616,0.189247996904568,0.7613807797806597,1.5974117969326482,1.4977460003727807
conservative,1234,3.9464068409444586,3.902040816326531,0.044366024617927685,0.23718441858033731,0.17490731902185455,0.7812839826551882,1.5601210510333965,1.4755256621258213
baseline,42,3.867781559930635,3.902040816326531,-0.03425925639589586,0.23223546984178375,0.1660836904752221,0.7797504787702733,2.112800487021712,2.0547471317683383
baseline,137,3.851266442986673,3.902040816326531,-0.05077437333985829,0.2198607513010882,0.16392817596046533,0.75841330293015,2.1147054409635437,2.0762291073295494
baseline,2024,3.869793683579591,3.902040816326531,-0.03224713274693966,0.21090444786356316,0.1513730709454567,0.8245440909415207,2.3227600049975736,2.262546150166371
baseline,888,3.8698475562125063,3.902040816326531,-0.03219326011402457,0.22225816869450266,0.16692688936791802,0.8003812923587655,2.3043891660419313,2.243842331395696
baseline,1234,3.891133691298477,3.902040816326531,-0.01090712502805416,0.2201548435820971,0.16632089377966894,0.7846943458044378,2.5168524966306465,2.432976311987828
aggressive,42,3.867781559930635,3.902040816326531,-0.03425925639589586,0.23223546984178375,0.1660836904752221,0.7797504787702733,2.112800487021712,2.0547471317683383
aggressive,137,3.851266442986673,3.902040816326531,-0.05077437333985829,0.2198607513010882,0.16392817596046533,0.75841330293015,2.1147054409635437,2.0762291073295494
aggressive,2024,3.869793683579591,3.902040816326531,-0.03224713274693966,0.21090444786356316,0.1513730709454567,0.8245440909415207,2.3227600049975736,2.262546150166371
aggressive,888,3.8698475562125063,3.902040816326531,-0.03219326011402457,0.22225816869450266,0.16692688936791802,0.8003812923587655,2.3043891660419313,2.243842331395696
aggressive,1234,3.891133691298477,3.902040816326531,-0.01090712502805416,0.2201548435820971,0.16632089377966894,0.7846943458044378,2.5168524966306465,2.432976311987828
