model_variant,code,seed,window,UR_RMSE_pp,UR_MAE_pp,UR_corr,UR_bias_pp,UR_maxabs_pp,UR_sim_mean_pp,LFPR_RMSE_pp,LFPR_bias_pp,EPOP_RMSE_pp,EPOP_bias_pp,EU_mean,UE_mean,H2M_mean,buf_mean
Full heterogeneous ABM,M0_Full,42,train,1.2926,1.0218,0.8098,0.0639,2.9145,6.4621,1.5233,-1.3022,1.6667,-1.2594,0.01408,0.24144,0.2686,9.514
Full heterogeneous ABM,M0_Full,42,val,1.9986,1.5074,0.6866,-0.5654,6.1015,4.6888,1.3527,1.0461,2.3453,1.338,0.01328,0.2993,0.2715,12.801
Full heterogeneous ABM,M0_Full,42,oos,0.2322,0.1661,0.7798,-0.0429,0.7605,3.8678,2.1128,2.0818,2.0547,2.0288,0.01051,0.29428,0.2802,13.969
Full heterogeneous ABM,M0_Full,137,train,1.3442,1.0603,0.7997,0.0937,3.0861,6.4919,1.4693,-1.271,1.6367,-1.2504,0.01409,0.24091,0.2685,9.509
Full heterogeneous ABM,M0_Full,137,val,1.9878,1.5185,0.6899,-0.507,6.2975,4.7472,1.4896,1.1968,2.4321,1.4449,0.01345,0.29893,0.2707,12.805
Full heterogeneous ABM,M0_Full,137,oos,0.2199,0.1639,0.7584,-0.0604,0.6593,3.8513,2.1147,2.0923,2.0762,2.0507,0.01044,0.29344,0.2792,13.976
Full heterogeneous ABM,M0_Full,2024,train,1.2867,1.0073,0.8093,0.0947,2.9305,6.4929,1.3808,-1.1024,1.5677,-1.0921,0.01407,0.23963,0.2689,9.511
Full heterogeneous ABM,M0_Full,2024,val,2.0147,1.5942,0.6506,-0.4759,5.8522,4.7782,1.7099,1.4585,2.5978,1.6743,0.0133,0.2946,0.2713,12.8
Full heterogeneous ABM,M0_Full,2024,oos,0.2109,0.1514,0.8245,-0.0444,0.6433,3.8698,2.3228,2.3083,2.2625,2.2481,0.01045,0.29143,0.2802,13.965
Full heterogeneous ABM,M0_Full,888,train,1.3687,1.0709,0.804,0.1664,3.3553,6.5647,1.5435,-1.2898,1.7588,-1.3124,0.01411,0.23878,0.2674,9.517
Full heterogeneous ABM,M0_Full,888,val,1.9934,1.5417,0.6799,-0.4981,6.0671,4.7561,1.554,1.2771,2.4751,1.5159,0.01328,0.2953,0.2702,12.81
Full heterogeneous ABM,M0_Full,888,oos,0.2223,0.1669,0.8004,-0.0433,0.629,3.8698,2.3044,2.2913,2.2438,2.231,0.0106,0.29531,0.279,13.98
Full heterogeneous ABM,M0_Full,1234,train,1.3104,1.0393,0.8061,0.0947,3.0527,6.4929,1.3266,-1.0805,1.5377,-1.072,0.01404,0.23969,0.2689,9.507
Full heterogeneous ABM,M0_Full,1234,val,2.0135,1.5382,0.671,-0.555,6.0243,4.6991,1.7232,1.4669,2.6293,1.7326,0.01327,0.29799,0.2716,12.796
Full heterogeneous ABM,M0_Full,1234,oos,0.2202,0.1663,0.7847,-0.0213,0.6286,3.8911,2.5169,2.4947,2.433,2.4119,0.01052,0.29197,0.2804,13.962
Homogeneous ABM,D1_Homogeneous,42,train,3.627,2.4961,0.8374,2.3927,9.2269,8.7909,2.3833,1.5526,3.0454,-0.1078,0.01411,0.1993,0.0,7.552
Homogeneous ABM,D1_Homogeneous,42,val,1.7193,1.4112,0.7663,-0.5939,3.9568,4.6603,7.1363,7.0409,7.3576,7.0726,0.01332,0.32534,0.0,10.761
Homogeneous ABM,D1_Homogeneous,42,oos,0.5472,0.4005,0.8174,-0.3884,1.4826,3.5306,8.8407,8.832,8.7664,8.7637,0.01055,0.33029,0.0,11.843
Homogeneous ABM,D1_Homogeneous,137,train,3.6985,2.5512,0.8262,2.4246,9.2668,8.8228,2.4182,1.596,3.0899,-0.0904,0.0141,0.19897,0.0,7.557
Homogeneous ABM,D1_Homogeneous,137,val,1.7525,1.4584,0.7522,-0.5781,3.8976,4.6761,7.0793,6.9897,7.2959,7.0131,0.01335,0.32565,0.0,10.762
Homogeneous ABM,D1_Homogeneous,137,oos,0.5526,0.4002,0.8097,-0.3808,1.4891,3.5404,8.8745,8.8626,8.7921,8.7875,0.01061,0.3321,0.0,11.845
