window,period,seed,UR_RMSE_pp,UR_MAE_pp,UR_corr,UR_bias_pp,UR_max_abs_pp,LFPR_RMSE_pp,LFPR_bias_pp,EPOP_RMSE_pp,EPOP_bias_pp
pre_covid_stable,2018-01..2019-12,42,0.7145,0.6946,0.2731,0.6946,1.0717,0.332,0.3098,0.1913,-0.1455
pre_covid_stable,2018-01..2019-12,137,0.7833,0.7704,0.6067,0.7704,0.992,0.4558,0.4333,0.1702,-0.0755
pre_covid_stable,2018-01..2019-12,2024,0.8621,0.8419,0.0519,0.8419,1.211,0.7046,0.6902,0.191,0.124
pre_covid_stable,2018-01..2019-12,888,0.8138,0.7938,0.2674,0.7938,1.2317,0.53,0.5125,0.1464,-0.015
pre_covid_stable,2018-01..2019-12,1234,0.7551,0.7227,-0.1465,0.7227,1.1881,0.6925,0.6813,0.2444,0.1913
covid_crisis_mar,2020-03..2021-12,42,2.8405,2.441,0.7491,-2.0814,6.1015,1.9656,1.9172,3.4564,3.1133
covid_crisis_mar,2020-03..2021-12,137,2.8025,2.3784,0.7596,-2.0406,6.2975,2.1453,2.1053,3.5865,3.267
covid_crisis_mar,2020-03..2021-12,2024,2.8108,2.4461,0.7535,-2.0705,5.8522,2.4086,2.3716,3.8313,3.5392
covid_crisis_mar,2020-03..2021-12,888,2.8001,2.3996,0.7611,-2.0507,6.0671,2.2231,2.1845,3.6517,3.3492
covid_crisis_mar,2020-03..2021-12,1234,2.8473,2.4652,0.7511,-2.1018,6.0243,2.4315,2.3943,3.8752,3.5806
covid_crisis_jan,2020-01..2021-12,42,2.7346,2.3202,0.7274,-1.8253,6.1015,1.884,1.7825,3.3112,2.8215
covid_crisis_jan,2020-01..2021-12,137,2.6999,2.2665,0.7377,-1.7843,6.2975,2.0567,1.9603,3.4353,2.9652
covid_crisis_jan,2020-01..2021-12,2024,2.7156,2.3465,0.7179,-1.7937,5.8522,2.3133,2.2267,3.6689,3.2245
covid_crisis_jan,2020-01..2021-12,888,2.6991,2.2895,0.7359,-1.79,6.0671,2.1328,2.0417,3.4972,3.0467
covid_crisis_jan,2020-01..2021-12,1234,2.7455,2.3536,0.7211,-1.8328,6.0243,2.3366,2.2525,3.7103,3.2739
post_covid_norm,2022-01..2026-02,42,0.2322,0.1661,0.7798,-0.0429,0.7605,2.1128,2.0818,2.0547,2.0288
post_covid_norm,2022-01..2026-02,137,0.2199,0.1639,0.7584,-0.0604,0.6593,2.1147,2.0923,2.0762,2.0507
post_covid_norm,2022-01..2026-02,2024,0.2109,0.1514,0.8245,-0.0444,0.6433,2.3228,2.3083,2.2625,2.2481
post_covid_norm,2022-01..2026-02,888,0.2223,0.1669,0.8004,-0.0433,0.629,2.3044,2.2913,2.2438,2.231
post_covid_norm,2022-01..2026-02,1234,0.2202,0.1663,0.7847,-0.0213,0.6286,2.5169,2.4947,2.433,2.4119
full_post_2018,2018-01..2026-02,42,1.4156,0.8298,0.7256,-0.3014,6.1015,1.7778,1.5693,2.2033,1.687
full_post_2018,2018-01..2026-02,137,1.4071,0.8342,0.7324,-0.2814,6.2975,1.8322,1.6492,2.2593,1.7509
full_post_2018,2018-01..2026-02,2024,1.4251,0.8653,0.7005,-0.258,5.8522,2.0426,1.8878,2.4342,1.9641
full_post_2018,2018-01..2026-02,888,1.4111,0.8472,0.7217,-0.2684,6.0671,1.9691,1.7894,2.3611,1.8771
full_post_2018,2018-01..2026-02,1234,1.425,0.8452,0.7143,-0.2854,6.0243,2.1609,1.9861,2.532,2.0757
