variant,label,rank,cand_idx,mean_train_loss,std_train_loss
V_Simplified,Simplified ABM,0,22.0,0.7606,0.0052
V_Simplified,Simplified ABM,1,29.0,0.7657,0.0052
V_Simplified,Simplified ABM,2,27.0,0.7664,0.0034
V_Simplified,Simplified ABM,3,3.0,0.771,0.004
V_Simplified,Simplified ABM,4,4.0,0.7758,0.0068
V_Simplified,Simplified ABM,spread,,0.0151,0.7471
V_LaborOnly,Labor-only ABM,0,34.0,0.1795,0.0047
V_LaborOnly,Labor-only ABM,1,66.0,0.1795,0.0032
V_LaborOnly,Labor-only ABM,2,75.0,0.1906,0.0054
V_LaborOnly,Labor-only ABM,3,48.0,0.1933,0.0039
V_LaborOnly,Labor-only ABM,4,73.0,0.1947,0.0064
V_LaborOnly,Labor-only ABM,spread,,0.0153,3.998
V_Homogeneous,Homogeneous ABM,0,44.0,0.5236,0.0061
V_Homogeneous,Homogeneous ABM,1,13.0,0.5261,0.0037
V_Homogeneous,Homogeneous ABM,2,97.0,0.5562,0.0019
V_Homogeneous,Homogeneous ABM,3,80.0,0.5893,0.004
V_Homogeneous,Homogeneous ABM,4,32.0,0.599,0.0007
V_Homogeneous,Homogeneous ABM,spread,,0.0754,6.2361
V_Full,Full heterogeneous ABM,0,32.0,0.1672,0.0041
V_Full,Full heterogeneous ABM,1,36.0,0.171,0.0079
V_Full,Full heterogeneous ABM,2,12.0,0.1794,0.005
V_Full,Full heterogeneous ABM,3,81.0,0.1936,0.0016
V_Full,Full heterogeneous ABM,4,43.0,0.1963,0.0042
V_Full,Full heterogeneous ABM,spread,,0.0291,7.2132
