Loading target data...

=== V_NoSearch  flatten=['search']  n_draws=100  total_sims=300 ===
  [resume] reusing existing samples
  [resume] 300 seed-rows done
  V_NoSearch [  1/100] mean=0.2832 std=0.0066  elapsed=0.0min
  V_NoSearch [  2/100] mean=0.3635 std=0.0044  elapsed=0.0min
  V_NoSearch [  3/100] mean=0.8811 std=0.0129  elapsed=0.0min
  V_NoSearch [  4/100] mean=0.4401 std=0.0022  elapsed=0.0min
  V_NoSearch [  5/100] mean=0.4755 std=0.0056  elapsed=0.0min
  V_NoSearch [  6/100] mean=1.5678 std=0.0089  elapsed=0.0min
  V_NoSearch [  7/100] mean=0.3861 std=0.0056  elapsed=0.0min
  V_NoSearch [  8/100] mean=0.3662 std=0.0029  elapsed=0.0min
  V_NoSearch [  9/100] mean=0.4240 std=0.0028  elapsed=0.0min
  V_NoSearch [ 10/100] mean=0.5681 std=0.0065  elapsed=0.0min
  V_NoSearch [ 11/100] mean=0.4921 std=0.0040  elapsed=0.0min
  V_NoSearch [ 12/100] mean=0.5384 std=0.0034  elapsed=0.0min
  V_NoSearch [ 13/100] mean=0.4713 std=0.0048  elapsed=0.0min
  V_NoSearch [ 14/100] mean=0.7990 std=0.0142  elapsed=0.0min
  V_NoSearch [ 15/100] mean=0.3241 std=0.0022  elapsed=0.0min
  V_NoSearch [ 16/100] mean=0.4155 std=0.0055  elapsed=0.0min
  V_NoSearch [ 17/100] mean=1.1709 std=0.0245  elapsed=0.0min
  V_NoSearch [ 18/100] mean=0.4440 std=0.0005  elapsed=0.0min
  V_NoSearch [ 19/100] mean=0.3099 std=0.0025  elapsed=0.0min
  V_NoSearch [ 20/100] mean=0.3153 std=0.0053  elapsed=0.0min
  V_NoSearch [ 21/100] mean=0.4109 std=0.0055  elapsed=0.0min
  V_NoSearch [ 22/100] mean=0.4117 std=0.0038  elapsed=0.0min
  V_NoSearch [ 23/100] mean=0.3712 std=0.0039  elapsed=0.0min
  V_NoSearch [ 24/100] mean=0.8176 std=0.0054  elapsed=0.0min
  V_NoSearch [ 25/100] mean=0.4776 std=0.0034  elapsed=0.0min
  V_NoSearch [ 26/100] mean=0.3467 std=0.0072  elapsed=0.0min
  V_NoSearch [ 27/100] mean=0.3711 std=0.0077  elapsed=0.0min
  V_NoSearch [ 28/100] mean=0.3578 std=0.0022  elapsed=0.0min
  V_NoSearch [ 29/100] mean=1.6980 std=0.0032  elapsed=0.0min
  V_NoSearch [ 30/100] mean=0.4360 std=0.0035  elapsed=0.0min
  V_NoSearch [ 31/100] mean=0.4962 std=0.0058  elapsed=0.0min
  V_NoSearch [ 32/100] mean=1.5737 std=0.0023  elapsed=0.0min
  V_NoSearch [ 33/100] mean=0.7751 std=0.0154  elapsed=0.0min
  V_NoSearch [ 34/100] mean=0.3275 std=0.0059  elapsed=0.0min
  V_NoSearch [ 35/100] mean=0.3376 std=0.0026  elapsed=0.0min
  V_NoSearch [ 36/100] mean=0.2969 std=0.0027  elapsed=0.0min
  V_NoSearch [ 37/100] mean=1.5646 std=0.0109  elapsed=0.0min
  V_NoSearch [ 38/100] mean=0.7015 std=0.0114  elapsed=0.0min
  V_NoSearch [ 39/100] mean=0.3496 std=0.0083  elapsed=0.0min
  V_NoSearch [ 40/100] mean=0.3297 std=0.0016  elapsed=0.0min
  V_NoSearch [ 41/100] mean=0.3681 std=0.0030  elapsed=0.0min
  V_NoSearch [ 42/100] mean=0.4380 std=0.0037  elapsed=0.0min
  V_NoSearch [ 43/100] mean=0.4340 std=0.0032  elapsed=0.0min
  V_NoSearch [ 44/100] mean=0.3215 std=0.0050  elapsed=0.0min
  V_NoSearch [ 45/100] mean=0.3234 std=0.0059  elapsed=0.0min
  V_NoSearch [ 46/100] mean=0.3420 std=0.0049  elapsed=0.0min
  V_NoSearch [ 47/100] mean=0.4639 std=0.0082  elapsed=0.0min
  V_NoSearch [ 48/100] mean=0.3851 std=0.0012  elapsed=0.0min
  V_NoSearch [ 49/100] mean=0.2621 std=0.0050  elapsed=0.0min
