Loading target data...
  V_NoSearch rank=0 seed=42 runtime=10.2s  elapsed=0.2min
  V_NoSearch rank=0 seed=137 runtime=9.8s  elapsed=0.3min
  V_NoSearch rank=0 seed=2024 runtime=9.4s  elapsed=0.5min
  V_NoSearch rank=0 seed=888 runtime=9.6s  elapsed=0.7min
  V_NoSearch rank=0 seed=1234 runtime=9.5s  elapsed=0.8min
  V_NoSearch rank=1 seed=42 runtime=9.5s  elapsed=1.0min
  V_NoSearch rank=1 seed=137 runtime=9.6s  elapsed=1.1min
  V_NoSearch rank=1 seed=2024 runtime=9.5s  elapsed=1.3min
  V_NoSearch rank=1 seed=888 runtime=9.5s  elapsed=1.4min
  V_NoSearch rank=1 seed=1234 runtime=9.5s  elapsed=1.6min
  V_NoSearch rank=2 seed=42 runtime=9.4s  elapsed=1.8min
  V_NoSearch rank=2 seed=137 runtime=10.0s  elapsed=1.9min
  V_NoSearch rank=2 seed=2024 runtime=9.5s  elapsed=2.1min
  V_NoSearch rank=2 seed=888 runtime=9.4s  elapsed=2.2min
  V_NoSearch rank=2 seed=1234 runtime=9.3s  elapsed=2.4min
  V_NoSearch rank=3 seed=42 runtime=9.3s  elapsed=2.6min
  V_NoSearch rank=3 seed=137 runtime=9.5s  elapsed=2.7min
  V_NoSearch rank=3 seed=2024 runtime=9.5s  elapsed=2.9min
  V_NoSearch rank=3 seed=888 runtime=9.6s  elapsed=3.0min
  V_NoSearch rank=3 seed=1234 runtime=9.6s  elapsed=3.2min
  V_NoSearch rank=4 seed=42 runtime=9.6s  elapsed=3.3min
  V_NoSearch rank=4 seed=137 runtime=9.7s  elapsed=3.5min
  V_NoSearch rank=4 seed=2024 runtime=9.6s  elapsed=3.7min
  V_NoSearch rank=4 seed=888 runtime=9.8s  elapsed=3.8min
  V_NoSearch rank=4 seed=1234 runtime=9.7s  elapsed=4.0min
  V_NoLiquidity rank=0 seed=42 runtime=9.2s  elapsed=4.1min
  V_NoLiquidity rank=0 seed=137 runtime=9.2s  elapsed=4.3min
  V_NoLiquidity rank=0 seed=2024 runtime=9.1s  elapsed=4.5min
  V_NoLiquidity rank=0 seed=888 runtime=9.1s  elapsed=4.6min
  V_NoLiquidity rank=0 seed=1234 runtime=9.1s  elapsed=4.8min
  V_NoLiquidity rank=1 seed=42 runtime=9.1s  elapsed=4.9min
  V_NoLiquidity rank=1 seed=137 runtime=9.2s  elapsed=5.1min
  V_NoLiquidity rank=1 seed=2024 runtime=9.2s  elapsed=5.2min
  V_NoLiquidity rank=1 seed=888 runtime=9.1s  elapsed=5.4min
  V_NoLiquidity rank=1 seed=1234 runtime=9.2s  elapsed=5.5min
  V_NoLiquidity rank=2 seed=42 runtime=9.2s  elapsed=5.7min
  V_NoLiquidity rank=2 seed=137 runtime=9.2s  elapsed=5.8min
  V_NoLiquidity rank=2 seed=2024 runtime=9.1s  elapsed=6.0min
  V_NoLiquidity rank=2 seed=888 runtime=9.1s  elapsed=6.1min
  V_NoLiquidity rank=2 seed=1234 runtime=9.2s  elapsed=6.3min
  V_NoLiquidity rank=3 seed=42 runtime=9.2s  elapsed=6.4min
  V_NoLiquidity rank=3 seed=137 runtime=9.2s  elapsed=6.6min
  V_NoLiquidity rank=3 seed=2024 runtime=9.3s  elapsed=6.7min
  V_NoLiquidity rank=3 seed=888 runtime=9.2s  elapsed=6.9min
  V_NoLiquidity rank=3 seed=1234 runtime=9.2s  elapsed=7.1min
  V_NoLiquidity rank=4 seed=42 runtime=9.3s  elapsed=7.2min
  V_NoLiquidity rank=4 seed=137 runtime=9.2s  elapsed=7.4min
  V_NoLiquidity rank=4 seed=2024 runtime=9.2s  elapsed=7.5min
  V_NoLiquidity rank=4 seed=888 runtime=9.2s  elapsed=7.7min
  V_NoLiquidity rank=4 seed=1234 runtime=9.2s  elapsed=7.8min
  V_NoHousing rank=0 seed=42 runtime=9.7s  elapsed=8.0min
  V_NoHousing rank=0 seed=137 runtime=9.7s  elapsed=8.1min
  V_NoHousing rank=0 seed=2024 runtime=9.8s  elapsed=8.3min
  V_NoHousing rank=0 seed=888 runtime=9.7s  elapsed=8.5min
  V_NoHousing rank=0 seed=1234 runtime=9.6s  elapsed=8.6min
  V_NoHousing rank=1 seed=42 runtime=9.8s  elapsed=8.8min
  V_NoHousing rank=1 seed=137 runtime=9.7s  elapsed=9.0min
  V_NoHousing rank=1 seed=2024 runtime=9.7s  elapsed=9.1min
  V_NoHousing rank=1 seed=888 runtime=9.7s  elapsed=9.3min
  V_NoHousing rank=1 seed=1234 runtime=9.8s  elapsed=9.4min
  V_NoHousing rank=2 seed=42 runtime=9.8s  elapsed=9.6min
  V_NoHousing rank=2 seed=137 runtime=9.8s  elapsed=9.8min
  V_NoHousing rank=2 seed=2024 runtime=9.7s  elapsed=9.9min
  V_NoHousing rank=2 seed=888 runtime=9.8s  elapsed=10.1min
  V_NoHousing rank=2 seed=1234 runtime=9.8s  elapsed=10.3min
  V_NoHousing rank=3 seed=42 runtime=9.6s  elapsed=10.4min
