regime,regime_label,model,label,spec
pre_covid_stable,Pre-COVID stable (2018-01..2019-12),B0a_NoChange,No-change (random walk),"{""type"": ""random_walk"", ""last_value"": 0.040999999999999995}"
pre_covid_stable,Pre-COVID stable (2018-01..2019-12),B0b_HistMean,Historical mean,"{""type"": ""historical_mean"", ""mean"": 0.062406862745098046}"
pre_covid_stable,Pre-COVID stable (2018-01..2019-12),B0c_Drift,Drift (12m local trend),"{""type"": ""local_linear_trend"", ""slope_per_month"": -0.00042307692307692126, ""window_months"": 12}"
pre_covid_stable,Pre-COVID stable (2018-01..2019-12),B1_AR,"AR(p), BIC","{""type"": ""AR"", ""p_selected_BIC"": 1, ""bic"": -2008.7526733626692}"
pre_covid_stable,Pre-COVID stable (2018-01..2019-12),B2_ARIMA,"ARIMA(p,d,q), AIC grid","{""type"": ""ARIMA"", ""order_AIC"": [2, 0, 2], ""aic"": -2041.7785929018037}"
pre_covid_stable,Pre-COVID stable (2018-01..2019-12),B3_ETS,"ETS (SES/Holt/Damped, AICc)","{""type"": ""ETS"", ""kind"": ""Holt"", ""aic"": -2647.880439385554}"
pre_covid_stable,Pre-COVID stable (2018-01..2019-12),B4_VAR,"VAR(p), BIC, UR+LFPR+EPOP","{""type"": ""VAR"", ""p_selected_BIC"": 1, ""variables"": [""UR"", ""LFPR"", ""EPOP""]}"
pre_covid_stable,Pre-COVID stable (2018-01..2019-12),B5_RidgeVAR,"Ridge VAR(2), 5 vars (BVAR approx)","{""type"": ""RidgeVAR"", ""p"": 2, ""lambda"": 0.001, ""variables"": [""UR"", ""LFPR"", ""EPOP"", ""vac"", ""sep""], ""uses_observed_OOS_exog"": true}"
pre_covid_stable,Pre-COVID stable (2018-01..2019-12),B6_Beveridge,"Beveridge OLS (vac, sep)","{""type"": ""Beveridge"", ""params_a_b1_b2"": [0.04991622203145474, 0.08468571661808791, -5.427574324143808], ""r2_train"": 0.7117757409917455, ""uses_observed_OOS_exog"": true, ""exog_vars"": [""market_tightness"", ""separation_rate""]}"
pre_covid_stable,Pre-COVID stable (2018-01..2019-12),B7_DMP,"DMP-style (theta, sep)","{""type"": ""DMP"", ""A"": 0.22512736331501337, ""alpha"": 0.08543939476249451, ""uses_observed_OOS_exog"": true, ""exog_vars"": [""market_tightness"", ""separation_rate""]}"
pre_covid_stable,Pre-COVID stable (2018-01..2019-12),B8_Flow,Flow-based UR (sep + AR(1) f),"{""type"": ""Flow_based"", ""f_AR1_rho"": 0.8183380413367896, ""f_AR1_const"": 0.040575022515529705, ""f_longrun"": 0.22335453616215367, ""f_imp_mean"": 0.22616687905188482, ""uses_observed_OOS_exog"": true, ""exog_vars"": [""separation_rate""]}"
covid_crisis_mar,COVID crisis (2020-03..2021-12),B0a_NoChange,No-change (random walk),"{""type"": ""random_walk"", ""last_value"": 0.035}"
covid_crisis_mar,COVID crisis (2020-03..2021-12),B0b_HistMean,Historical mean,"{""type"": ""historical_mean"", ""mean"": 0.059608695652173915}"
covid_crisis_mar,COVID crisis (2020-03..2021-12),B0c_Drift,Drift (12m local trend),"{""type"": ""local_linear_trend"", ""slope_per_month"": -0.00016083916083915967, ""window_months"": 12}"
covid_crisis_mar,COVID crisis (2020-03..2021-12),B1_AR,"AR(p), BIC","{""type"": ""AR"", ""p_selected_BIC"": 1, ""bic"": -2282.9933731856445}"
covid_crisis_mar,COVID crisis (2020-03..2021-12),B2_ARIMA,"ARIMA(p,d,q), AIC grid","{""type"": ""ARIMA"", ""order_AIC"": [2, 0, 2], ""aic"": -2318.7114496980475}"
covid_crisis_mar,COVID crisis (2020-03..2021-12),B3_ETS,"ETS (SES/Holt/Damped, AICc)","{""type"": ""ETS"", ""kind"": ""DampedHolt"", ""aic"": -2998.7748259406176}"
covid_crisis_mar,COVID crisis (2020-03..2021-12),B4_VAR,"VAR(p), BIC, UR+LFPR+EPOP","{""type"": ""VAR"", ""p_selected_BIC"": 1, ""variables"": [""UR"", ""LFPR"", ""EPOP""]}"
covid_crisis_mar,COVID crisis (2020-03..2021-12),B5_RidgeVAR,"Ridge VAR(2), 5 vars (BVAR approx)","{""type"": ""RidgeVAR"", ""p"": 2, ""lambda"": 0.001, ""variables"": [""UR"", ""LFPR"", ""EPOP"", ""vac"", ""sep""], ""uses_observed_OOS_exog"": true}"
covid_crisis_mar,COVID crisis (2020-03..2021-12),B6_Beveridge,"Beveridge OLS (vac, sep)","{""type"": ""Beveridge"", ""params_a_b1_b2"": [0.04708858494758402, 0.08569880644729, -5.31791717305993], ""r2_train"": 0.7622277207214161, ""uses_observed_OOS_exog"": true, ""exog_vars"": [""market_tightness"", ""separation_rate""]}"
covid_crisis_mar,COVID crisis (2020-03..2021-12),B7_DMP,"DMP-style (theta, sep)","{""type"": ""DMP"", ""A"": 0.22412150492592314, ""alpha"": 0.111144354691695, ""uses_observed_OOS_exog"": true, ""exog_vars"": [""market_tightness"", ""separation_rate""]}"
covid_crisis_mar,COVID crisis (2020-03..2021-12),B8_Flow,Flow-based UR (sep + AR(1) f),"{""type"": ""Flow_based"", ""f_AR1_rho"": 0.8442562989435495, ""f_AR1_const"": 0.03653404134315251, ""f_longrun"": 0.23457797070014705, ""f_imp_mean"": 0.23616182382592213, ""uses_observed_OOS_exog"": true, ""exog_vars"": [""separation_rate""]}"
post_covid_norm,Post-COVID normalization (2022-01..2026-02),B0a_NoChange,No-change (random walk),"{""type"": ""random_walk"", ""last_value"": 0.039}"
post_covid_norm,Post-COVID normalization (2022-01..2026-02),B0b_HistMean,Historical mean,"{""type"": ""historical_mean"", ""mean"": 0.06052777777777778}"
post_covid_norm,Post-COVID normalization (2022-01..2026-02),B0c_Drift,Drift (12m local trend),"{""type"": ""local_linear_trend"", ""slope_per_month"": -0.0023496503496503495, ""window_months"": 12}"
post_covid_norm,Post-COVID normalization (2022-01..2026-02),B1_AR,"AR(p), BIC","{""type"": ""AR"", ""p_selected_BIC"": 1, ""bic"": -1759.9067518959453}"
post_covid_norm,Post-COVID normalization (2022-01..2026-02),B2_ARIMA,"ARIMA(p,d,q), AIC grid","{""type"": ""ARIMA"", ""order_AIC"": [1, 0, 0], ""aic"": -1770.4829176669323}"
post_covid_norm,Post-COVID normalization (2022-01..2026-02),B3_ETS,"ETS (SES/Holt/Damped, AICc)","{""type"": ""ETS"", ""kind"": ""SES"", ""aic"": -2486.930570834153}"
post_covid_norm,Post-COVID normalization (2022-01..2026-02),B4_VAR,"VAR(p), BIC, UR+LFPR+EPOP","{""type"": ""VAR"", ""p_selected_BIC"": 2, ""variables"": [""UR"", ""LFPR"", ""EPOP""]}"
post_covid_norm,Post-COVID normalization (2022-01..2026-02),B5_RidgeVAR,"Ridge VAR(2), 5 vars (BVAR approx)","{""type"": ""RidgeVAR"", ""p"": 2, ""lambda"": 0.001, ""variables"": [""UR"", ""LFPR"", ""EPOP"", ""vac"", ""sep""], ""uses_observed_OOS_exog"": true}"
post_covid_norm,Post-COVID normalization (2022-01..2026-02),B6_Beveridge,"Beveridge OLS (vac, sep)","{""type"": ""Beveridge"", ""params_a_b1_b2"": [0.011771055427302089, 0.04180676326260151, 0.5762314462882819], ""r2_train"": 0.38480049071462585, ""uses_observed_OOS_exog"": true, ""exog_vars"": [""market_tightness"", ""separation_rate""]}"
post_covid_norm,Post-COVID normalization (2022-01..2026-02),B7_DMP,"DMP-style (theta, sep)","{""type"": ""DMP"", ""A"": 0.2136910357104187, ""alpha"": 0.4105514838439228, ""uses_observed_OOS_exog"": true, ""exog_vars"": [""market_tightness"", ""separation_rate""]}"
post_covid_norm,Post-COVID normalization (2022-01..2026-02),B8_Flow,Flow-based UR (sep + AR(1) f),"{""type"": ""Flow_based"", ""f_AR1_rho"": 0.7162344962447957, ""f_AR1_const"": 0.06589456112512836, ""f_longrun"": 0.23221484025758662, ""f_imp_mean"": 0.23412642620523297, ""uses_observed_OOS_exog"": true, ""exog_vars"": [""separation_rate""]}"
full_post_2018,Full post-2018 (2018-01..2026-02),B0a_NoChange,No-change (random walk),"{""type"": ""random_walk"", ""last_value"": 0.040999999999999995}"
full_post_2018,Full post-2018 (2018-01..2026-02),B0b_HistMean,Historical mean,"{""type"": ""historical_mean"", ""mean"": 0.062406862745098046}"
full_post_2018,Full post-2018 (2018-01..2026-02),B0c_Drift,Drift (12m local trend),"{""type"": ""local_linear_trend"", ""slope_per_month"": -0.00042307692307692126, ""window_months"": 12}"
full_post_2018,Full post-2018 (2018-01..2026-02),B1_AR,"AR(p), BIC","{""type"": ""AR"", ""p_selected_BIC"": 1, ""bic"": -2008.7526733626692}"
full_post_2018,Full post-2018 (2018-01..2026-02),B2_ARIMA,"ARIMA(p,d,q), AIC grid","{""type"": ""ARIMA"", ""order_AIC"": [2, 0, 2], ""aic"": -2041.7785929018037}"
full_post_2018,Full post-2018 (2018-01..2026-02),B3_ETS,"ETS (SES/Holt/Damped, AICc)","{""type"": ""ETS"", ""kind"": ""Holt"", ""aic"": -2647.880439385554}"
full_post_2018,Full post-2018 (2018-01..2026-02),B4_VAR,"VAR(p), BIC, UR+LFPR+EPOP","{""type"": ""VAR"", ""p_selected_BIC"": 1, ""variables"": [""UR"", ""LFPR"", ""EPOP""]}"
full_post_2018,Full post-2018 (2018-01..2026-02),B5_RidgeVAR,"Ridge VAR(2), 5 vars (BVAR approx)","{""type"": ""RidgeVAR"", ""p"": 2, ""lambda"": 0.001, ""variables"": [""UR"", ""LFPR"", ""EPOP"", ""vac"", ""sep""], ""uses_observed_OOS_exog"": true}"
full_post_2018,Full post-2018 (2018-01..2026-02),B6_Beveridge,"Beveridge OLS (vac, sep)","{""type"": ""Beveridge"", ""params_a_b1_b2"": [0.04991622203145474, 0.08468571661808791, -5.427574324143808], ""r2_train"": 0.7117757409917455, ""uses_observed_OOS_exog"": true, ""exog_vars"": [""market_tightness"", ""separation_rate""]}"
full_post_2018,Full post-2018 (2018-01..2026-02),B7_DMP,"DMP-style (theta, sep)","{""type"": ""DMP"", ""A"": 0.22512736331501337, ""alpha"": 0.08543939476249451, ""uses_observed_OOS_exog"": true, ""exog_vars"": [""market_tightness"", ""separation_rate""]}"
full_post_2018,Full post-2018 (2018-01..2026-02),B8_Flow,Flow-based UR (sep + AR(1) f),"{""type"": ""Flow_based"", ""f_AR1_rho"": 0.8183380413367896, ""f_AR1_const"": 0.040575022515529705, ""f_longrun"": 0.22335453616215367, ""f_imp_mean"": 0.22616687905188482, ""uses_observed_OOS_exog"": true, ""exog_vars"": [""separation_rate""]}"
